id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct,clay_pct,silt_pct,sand_pct,gravel_pct,dominant_soil_type
106,0.001429,0.005353,0.011094,0.017643,0.024897,0.034112,0.050628,0.123788,0.899238,3.237273,9.952566,True,12.08,73.07,93.27,1.853,14.1,100,2.65,1e-10,30.0,,,,12.08,60.989999999999995,20.200000000000003,6.730000000000004,Silt
115,0.000882,0.002116,0.005213,0.010924,0.022359,0.044172,0.094693,0.231018,0.41398,0.632175,0.99251,True,19.36,64.57,98.98,1.759,16.02,100,2.65,4e-11,30.0,39.62,20.5,3.6,19.36,45.209999999999994,34.41000000000001,1.019999999999996,Silt
130,0.002409,0.003936,0.005944,0.008153,0.026195,0.0914,0.255089,0.399167,0.76185,1.562531,8.664066,True,6.35,56.66,95.99,1.825,14.07,100,2.65,1.1e-10,30.0,,,3.9,6.35,50.309999999999995,39.33,4.010000000000005,Silt
133,0.001337,0.003054,0.006087,0.012358,0.034137,0.103463,0.262519,0.672062,1.678952,2.852522,4.272329,True,14.83,55.75,92.07,1.909,13.88,100,2.65,1.0562e-07,29.75,,,,14.83,40.92,36.31999999999999,7.930000000000007,Silt
136,0.00268,0.00633,0.01271,0.02171,0.03768,0.05864,0.13636,0.41026,1.88462,4.0393,6.381981,True,6.61,60.85,90.39,1.768,17.69,100,2.67,,,,,,6.61,54.24,29.54,9.61,Silt
140,0.001031,0.003894,0.010321,0.023651,0.051382,0.130793,1.368297,5.394236,13.607867,21.211939,27.144922,True,14.84,52.22,71.61,1.839,15.39,100,2.69,,,40.68,18.69,,14.84,37.379999999999995,19.39,28.39,Silt
141,0.000396,0.005114,0.010285,0.015944,0.022509,0.029697,0.040855,0.09152,0.336069,0.90643,3.174802,True,14.06,76.73,97.1,1.849,15.1,100,2.68,,,,,2.5,14.06,62.67,20.36999999999999,2.9000000000000057,Silt
146,0.01165,0.014875,0.017428,0.020785,0.027836,0.042808,0.074047,0.127925,0.287489,0.631495,1.859818,True,0.0,67.01,98.13,1.709,18.58,100,2.65,,,,,,0.0,67.01,31.11999999999999,1.8700000000000045,Silt
159,0.001187,0.004857,0.010005,0.015569,0.021174,0.027214,0.034724,0.055343,1.853489,10.47409,13.505744,True,13.23,80.72,90.09,1.799,16.67,100,2.67,,,27.27,15.73,,13.23,67.49,9.370000000000005,9.909999999999997,Silt
166,0.001594,0.007598,0.014468,0.022567,0.033085,0.053575,0.098829,0.181435,0.359476,0.62672,2.154186,True,10.92,62.64,97.76,1.872,13.91,100,2.65,2.2e-10,30.0,29.33,18.03,1.8,10.92,51.72,35.120000000000005,2.239999999999995,Silt
167,0.000373,0.001529,0.005404,0.011581,0.023108,0.046004,0.088225,0.179497,0.390852,0.699329,1.66568,True,21.9,64.8,98.38,1.748,17.15,100,2.65,6e-11,30.0,41.26,23.84,,21.9,42.9,33.58,1.6200000000000045,Silt
168,0.001042,0.005304,0.00968,0.014648,0.01938,0.024827,0.031024,0.040747,0.105039,0.313931,0.855898,True,14.39,87.62,99.0,1.802,16.66,100,2.67,,,,,2.1,14.39,73.23,11.379999999999995,1.0,Silt
175,0.001582,0.00553,0.01288,0.024906,0.047364,0.127564,0.224216,0.382914,0.905258,3.853679,10.26011,True,11.44,52.88,93.24,1.727,16.02,100,2.65,,,33.85,19.23,5.2,11.44,41.440000000000005,40.35999999999999,6.760000000000005,Silt
185,0.002003,0.004466,0.012412,0.042861,0.300661,0.81731,2.094107,6.185015,15.240355,22.003374,27.288649,True,9.99,41.97,69.6,1.952,9.54,150,2.66,,,,,2.5,9.99,31.979999999999997,27.629999999999995,30.400000000000006,Silt
199,0.00039,0.001069,0.002937,0.00753,0.014572,0.031049,0.105558,0.312777,0.629716,1.34152,5.694682,True,26.2,65.97,96.4,1.711,19.03,100,2.65,8e-11,30.0,,,,26.2,39.769999999999996,30.430000000000007,3.5999999999999943,Silt
200,0.001073,0.004276,0.010616,0.020019,0.035239,0.065721,0.141798,0.272109,0.42022,0.604253,1.358071,True,14.56,59.46,98.43,1.882,14.07,100,2.65,7e-11,30.0,32.3,17.37,2.8,14.56,44.9,38.970000000000006,1.5699999999999932,Silt
